ابا,اَبا
ابا,اِبا
ابدال,اَبدال
ابدال,اِبدال
ابر,اَبر
ابر,اَبَر
احیاء,اَحیاء
احیاء,اِحیاء
احیا,اَحیا
احیا,اِحیا
اخوان,اَخَوان
اخوان,اِخوان
ارگ,اَرگ
ارگ,اُرگ
اشتر,اَشتَر
اشتر,اُشتُر
اشکال,اَشکال
اشکال,اِشکال
اعمال,اَعمال
اعمال,اِعمال
اپل,اَپِل
اپل,اِپُل
بر,بَر
بر,بُر
برس,بِرِس
برس,بُرِس
بعد,بَعد
بعد,بُعد
بلا,بَلا
بلا,بِلا
بن,بُن
بن,بِن
بنک,بَنَک
بنک,بُنَک
بنک,بَنْک
بهت,بِهِت
بهت,بُهت
ترک,تَرَک
ترک,تَرْک
ترک,تُرْک
تست,تُسْت
تست,تِسْت
تن,تَن
تن,تُن
تنگ,تَنگ
تنگ,تُنگ
تو,too
تو,تو
تک,تَک
تک,تُک
تک,تِک
جرم,جُرم
جرم,جِرم
جز,جُز
جز,جِز
جستن,جَستَن
جستن,جُستَن
جلب,جَلْب
جلب,جَلَب
جلد,جَلْد
جلد,جِلْد
جلدی,جَلدی
جلدی,جِلدی
جم,جَم
جم,جُم
جنب,جَنب
جنب,جُنُب
جنگ,جَنگ
جنگ,جُنگ
حجب,حَجب
حجب,حُجب
حسب,حَسْب
حسب,حَسَب
حسن,حَسَن
حسن,حُسـْن
حشر,حَشْر
حشر,حَشَر
حول,حَوَل
حول,حُول
حکم,حَکَم
حکم,حُکْم
حکم,حِکَم
خر,خَر
خر,خِر
خره,خَره
خره,خُرِه
خلط,خَلْط
خلط,خِلْط
خلف,خَلْف
خلف,خَلَف
خلف,خُلْف
خلق,خَلْق
خلق,خُلْق
خم,خَم
خم,خُم
دم,دَم
دم,دُم
ده,دَه
ده,دِه
دور,دور
دور,dowr
دوران,دَوَران
دوران,دوران
دین,دِیْن
دین,دین
رس,رَس
رس,رُس
رستن,رَسْتَن
رستن,رُسْتَن
رفتن,رَفْتَن
رفتن,رُفْتَن
رفت,رُفت
رفت,رَفت
رفته,رَفته
رفته,رُفته
رم,رَم
رم,رُم
روش,رَوِش
روش,روش
زبر,زِبَر
زبر,زِبْر
زخم,زَخْم
زخم,زُخْم
زهره,زَهره
زهره,زُهره
زوار,زُوّار
زوار,زَوار
سر,سَر
سر,سُر
سرور,سَروَر
سرور,سُرور
سیر,سِیر
سیر,سیر
شل,شَل
شل,شُل
شکوه,شِکْوه
شکوه,شُکوه
صور,صور
صور,صُوَر
عالم,عالَم
عالم,عالِم
غر,غُر
غر,غِر
غنا,غَنا
غنا,غِنا
فر,فَر
فر,فِر
فوت,فوت
فوت,foat
فک,فَک
فک,فُک
قسم,قَسَم
قسم,قِسْم
قصر,قَصْر
قصر,قِصِر
قطر,قُطْر
قطر,قَطَر
لخت,لَخْت
لخت,لُخْت
لختی,لَخْتی
لختی,لُخْتی
لم,لَم
لم,لِم
لنگ,لَنگ
لنگ,لُنگ
لنگ,لِنگ
مجاز,مَجاز
مجاز,مُجاز
مخلص,مَخلَص
مخلص,مُخلِص
مراجع,مَراجِع
مراجع,مُراجِع
مرد,مَرد
مرد,مُرد
مشک,مَشک
مشک,مُشک
ملک,مَلَک
ملک,مَلِ
ملک,مُلْک
ملک,مِلْک
من,مَن
من,مِن
منزل,مَنزِل
منزل,مُنزَل
مه,مَه
مه,مِه
مهر,مَهر
مهر,مُهر
مهر,مِهر
مک,مَک
مک,مُک
میل,مِیل
میل,mil
نسخ,نَسَخ
نسخ,نَسْخ
نسخ,نُسَخ
نقل,نَقل
نقل,نُقل
نه,نَه
نه,نُه
هرت,هُرت
هرت,هِرت
هنگ,هَنگ
هنگ,هُنگ
کنگ,کُنگ
هنگ‌کنگ,هُنگ‌کُنگ
هل,هُل
هل,هِل
ولو,وَلو
ولو,وِلو
پخ,پَخ
پخ,پِخ
پر,پَر
پر,پُر
پرس,پُرْس
پرس,پِرِس
پریز,piriz
پز,پَز
پز,پُز
پست,پَست
پست,پُست
پله,پَله
پله,پِلِّه
پهن,پَهْن
پهن,پِهِن
پک,پَک
پک,پُک
چرک,چُرَک
چرک,چِرْک
چک,چَک
چک,چُک
چک,چِک
کت,کَت
کت,کُت
کد,کَد
کد,کُد
کر,کَر
کر,کُرْ
کرم,کَرَم
کرم,کِرم
کرم,کِرِم
کره,کَرِ
کره,کُره
کرک,کِرَک
کرک,کُرْک
کشت,کُشت
کشت,کِشت
کشتن,کُشتَن
کشتن,کِشتَن
کشته,کُشتِه
کشته,کِشتِه
کشتی,کُشتی
کشتی,کِشتی
کفن,کَفْن
کفن,کَفَن
کل,کَل
کل,کُل
کلفت,کُلْفَت
کلفت,کُلُفت
کلم,کَلَم
کلم,کَلَّم
کما,کَما
کما,کُما
کند,کَند
کند,کُند
کنده,کَنده
کنده,کُنده
کنه,کَنِ
کنه,کُنْه
کک,کَک
کک,کُک
گر,گَر
گر,گُر
گرد,گَرد
گرد,گُرد
گرد,گِرد
گردان,گَردان
گردان,گُردان
گرم,گَرْم
گرم,گِرَم
گزیده,گَزیده
گزیده,گُزیده
گل,گُل
گل,گِل
گله,گلّه
گله,گِلِ
گلکار,گُلکار
گلکار,گِلکار
گلی,گُلی
گلی,گِلی
گنگ,گَنگ
گنگ,گُنگ
گه,گَه
گه,گُه
گوشت,گوشت
گوشت,گوشِت
گون,goon
گون,گَوَن
ید,یَد
ید,یُد
می‌کند,می‌کَنَد
می‌کند,می‌کُنَد
کن,کَن
کن,کُن
به,به
به,بَه
